"expen","age_ref","sex_ref","white","black","american_indian","asian","other","multi_race","welf_reic","welf_not_reiv","fwagexm","year","quarter"
797.91726,62,1,1,0,0,0,0,0,0,1,250,2017,1
536.04257,62,1,1,0,0,0,0,0,0,1,250,2017,1
1490.05659,54,2,1,0,0,0,0,0,0,1,102000,2017,1
1024.84,54,2,1,0,0,0,0,0,0,1,102000,2017,1
539.66,34,2,1,0,0,0,0,0,0,1,139000,2017,1
569.15,34,2,1,0,0,0,0,0,0,1,139000,2017,1
343.16003,57,2,1,0,0,0,0,0,0,1,9097,2017,1
189.03,57,2,1,0,0,0,0,0,0,1,13152.8,2017,1
2.24,20,2,1,0,0,0,0,0,0,1,33600,2017,1
311.35,20,2,1,0,0,0,0,0,0,1,33600,2017,1
877.43339,51,1,1,0,0,0,0,0,0,1,83500,2017,1
720.77,51,1,1,0,0,0,0,0,0,1,83500,2017,1
132.36369,46,2,1,0,0,0,0,0,0,1,75511.4,2017,1
148.8,46,2,1,0,0,0,0,0,0,1,76637,2017,1
480.08,52,2,1,0,0,0,0,0,0,1,103800,2017,1
629.14,52,2,1,0,0,0,0,0,0,1,103800,2017,1
53.29,35,2,1,0,0,0,0,0,0,1,26400,2017,1
434.5,35,2,1,0,0,0,0,0,0,1,26400,2017,1
325.34061,34,2,1,0,0,0,0,0,0,1,59013.4,2017,1
124.66017,34,2,1,0,0,0,0,0,0,1,77790.8,2017,1
391.55815,78,2,1,0,0,0,0,0,0,1,12712,2017,1
279.54,78,2,1,0,0,0,0,0,0,1,16587.6,2017,1
214.56,59,1,1,0,0,0,0,0,0,1,19700,2017,1
153.53,59,1,1,0,0,0,0,0,0,1,19700,2017,1
172.78,32,1,1,0,0,0,0,0,0,1,35482.6,2017,1
363.08,32,1,1,0,0,0,0,0,0,1,35116.4,2017,1
320.49,52,2,1,0,0,0,0,0,0,1,104121.6,2017,1
201.13,52,2,1,0,0,0,0,0,0,1,251794.4,2017,1
723.67722,60,2,1,0,0,0,0,0,0,1,233230.8,2017,1
750.67,60,2,1,0,0,0,0,0,0,1,233230.8,2017,1
402,78,2,1,0,0,0,0,0,0,1,54915.2,2017,1
521.576,78,2,1,0,0,0,0,0,0,1,55273,2017,1
58.89,74,2,1,0,0,0,0,0,0,1,32204.8,2017,1
42.54,74,2,1,0,0,0,0,0,0,1,19920.6,2017,1
417.13205,62,1,1,0,0,0,0,0,0,1,85146.6,2017,1
299.99996,62,1,1,0,0,0,0,0,0,1,84130.4,2017,1
55,39,1,0,1,0,0,0,0,0,1,69481.4,2017,1
100.8,49,1,1,0,0,0,0,0,0,1,135499,2017,1
333.63,49,1,1,0,0,0,0,0,0,1,126646.6,2017,1
165.87,54,1,1,0,0,0,0,0,0,1,21,2017,1
